ID,Category
unauthorized-charge,Unauthorized Charge
suspected-fraud-transaction,Suspected Fraudulent Transaction
lost-card,Lost Card Report
stolen-card,Stolen Card Report
card-not-present-fraud,Card-Not-Present Fraud
account-takeover,Account Takeover
merchant-dispute-unauthorized,Merchant Dispute â€“ Unauthorized Transaction
recurring-charge-fraud,Recurring Charge Fraud
fraud-investigation-status,Fraud Investigation Status
replacement-card-request,Replacement Card Request
credit-report-fraud,Credit Report Fraud Alert
transaction-monitoring,Transaction Monitoring Setup
fraud-education-resources,Fraud Prevention Education
credit-limit-increase,Credit Limit Increase
statement-inquiry,Statement / Billing Inquiry
rewards-redemption,Rewards Redemption & Points
payment-assistance,Payment Assistance / Hardship
card-activation,New Card Activation & Setup
balance-transfer-request,Balance Transfer Request